Number,Title,Year,Runtime,Genre,Rating,Budget,Votes,Metascore
240,Home,(II) (2015),94 min,Animation -  Adventure -  Comedy,6.5,"$135,000,000 ",106423,55
241,Pirates of the Caribbean: At World's End,-2007,169 min,Action -  Adventure -  Fantasy,7.1,"$300,000,000 ",665184,50
242,Brave,-2012,93 min,Animation -  Adventure -  Comedy,7.1,"$185,000,000 ",422446,69
243,Demon Slayer the Movie: Mugen Train,-2020,117 min,Animation -  Action -  Adventure,8.2,,63501,72
244,The Addams Family,-1991,99 min,Comedy -  Fantasy,6.9,"$30,000,000 ",170689,57
245,It's a Wonderful Life,-1946,130 min,Drama -  Family -  Fantasy,8.6,"$3,180,000 ",470895,89
246,Doctor Strange,-2016,115 min,Action -  Adventure -  Fantasy,7.5,"$165,000,000 ",762494,72
247,Ghost Rider,-2007,110 min,Action -  Fantasy -  Thriller,5.3,"$110,000,000 ",244604,35
248,The Lego Batman Movie,-2017,104 min,Animation -  Action -  Adventure,7.3,"$80,000,000 ",158766,75
249,King Arthur: Legend of the Sword,-2017,126 min,Action -  Adventure -  Drama,6.7,"$175,000,000 ",223023,41
250,Palm Springs,-2020,90 min,Comedy -  Fantasy -  Mystery,7.4,,167809,83
250,Palm Springs,-2020,90 min,Comedy -  Fantasy -  Mystery,7.4,,167809,83
251,The Road,(I) (2009),111 min,Drama -  Fantasy,7.2,"$25,000,000 ",245051,64
252,Superman: Legacy,-2025,,Action -  Adventure -  Fantasy,,,,
253,Willow,-1988,126 min,Action -  Adventure -  Drama,7.2,"$35,000,000 ",126525,47
254,Wreck-It Ralph,-2012,101 min,Animation -  Adventure -  Comedy,7.7,"$165,000,000 ",435096,72
255,Disenchanted,-2022,119 min,Animation -  Adventure -  Comedy,5.6,,22764,50
256,The Witches,-1990,91 min,Adventure -  Comedy -  Family,6.8,,52237,78
257,The Magician's Elephant,-2023,99 min,Animation -  Adventure -  Comedy,6.5,,3803,53
258,Frozen II,-2019,103 min,Animation -  Adventure -  Comedy,6.8,"$150,000,000 ",180455,64
