Number,Title,Year,Runtime,Genre,Rating,Budget,Gross US & Canada,Votes,Metascore
153.,Bad Boys II,(2003),147 min,Action -  Comedy -  Crime,6.6,"$130,000,000","138,608,444",257780,38
154.,Perfume: The Story of a Murderer,(2006),147 min,Crime -  Drama -  Fantasy,7.5,"$60,000,000","2,223,293",257298,56
155.,End of Watch,(2012),109 min,Action -  Adventure -  Crime,7.6,"$7,000,000","41,003,371",256089,68
156.,Crank,(2006),88 min,Action -  Crime -  Thriller,6.9,"$12,000,000","27,829,874",255199,57
157.,Eastern Promises,(2007),100 min,Crime -  Drama -  Thriller,7.6,"£25,000,000","17,114,882",250123,83
158.,Birds of Prey,(2020),109 min,Action -  Comedy -  Crime,6.0,"$84,500,000","84,158,461",248469,60
159.,Lawless,(2012),116 min,Biography -  Crime -  Drama,7.2,"$26,000,000","37,400,127",246703,58
160.,Minions,(2015),91 min,Animation -  Adventure -  Comedy,6.4,"$74,000,000","336,045,770",246423,56
161.,Southpaw,(2015),124 min,Action -  Crime -  Drama,7.3,"$30,000,000","52,421,953",246387,57
162.,A History of Violence,(2005),96 min,Action -  Crime -  Drama,7.4,"$32,000,000","31,493,782",244199,82
163.,Fantastic Mr. Fox,(2009),87 min,Animation -  Adventure -  Comedy,7.9,"$40,000,000","21,002,919",243991,83
164.,The Lincoln Lawyer,(2011),118 min,Crime -  Drama -  Mystery,7.3,"$40,000,000","58,009,200",243986,63
165.,Cruella,(2021),134 min,Adventure -  Comedy -  Crime,7.3,"$100,000,000","86,103,234",243812,59
166.,Game Night,(I) (2018),100 min,Action -  Adventure -  Comedy,6.9,"$37,000,000","69,179,066",243492,66
167.,Natural Born Killers,(1994),119 min,Action -  Crime -  Drama,7.2,"$34,000,000","50,282,766",241683,74
168.,21 Grams,(2003),124 min,Crime -  Drama -  Thriller,7.6,"$20,000,000","16,290,476",240909,70
169.,Disturbia,(2007),105 min,Crime -  Drama -  Mystery,6.8,"$20,000,000","80,209,692",240529,62
170.,Austin Powers: The Spy Who Shagged Me,(1999),95 min,Action -  Adventure -  Comedy,6.6,"$33,000,000","206,040,086",239826,59
171.,The Fate of the Furious,(2017),136 min,Action -  Crime -  Thriller,6.6,"$250,000,000","226,008,385",239192,56
172.,Hell or High Water,(II) (2016),102 min,Crime -  Drama -  Thriller,7.6,"$12,000,000","26,862,450",238332,88
173.,The Hitman's Bodyguard,(2017),118 min,Action -  Comedy -  Crime,6.9,"$30,000,000","75,468,583",237695,47
174.,Chicago,(2002),113 min,Comedy -  Crime -  Musical,7.2,"$45,000,000","170,687,518",235359,81
175.,RoboCop,(2014),117 min,Action -  Crime -  Sci-Fi,6.1,"$100,000,000","58,607,007",233137,52
176.,True Romance,(1993),119 min,Crime -  Drama -  Romance,7.9,"$13,000,000","12,281,500",232738,59
177.,Kiss Kiss Bang Bang,(2005),103 min,Comedy -  Crime -  Mystery,7.5,"$15,000,000","4,243,756",231144,72
178.,Primal Fear,(1996),129 min,Crime -  Drama -  Mystery,7.7,"$30,000,000","56,116,183",231115,47
179.,War Dogs,(2016),114 min,Biography -  Comedy -  Crime,7.1,"$40,000,000","43,034,523",231056,57
180.,Sleepers,(1996),147 min,Crime -  Drama -  Thriller,7.5,"$44,000,000","49,100,000",229840,49
181.,Ocean's Eight,(2018),110 min,Action -  Comedy -  Crime,6.3,"$70,000,000","140,218,711",228464,61
182.,Rush Hour 2,(2001),90 min,Action -  Comedy -  Crime,6.6,"$90,000,000","226,164,286",227684,48
183.,Ace Ventura: When Nature Calls,(1995),90 min,Adventure -  Comedy -  Crime,6.4,"$30,000,000","108,385,533",224326,45
184.,Carlito's Way,(1993),144 min,Crime -  Drama -  Thriller,7.9,"$30,000,000","36,948,322",223981,66
185.,Daredevil,(2003),103 min,Action -  Crime,5.3,"$78,000,000","102,543,520",223808,42
186.,Pain & Gain,(2013),129 min,Action -  Comedy -  Crime,6.4,"$26,000,000","49,875,291",222188,45
187.,Butch Cassidy and the Sundance Kid,(1969),110 min,Biography -  Crime -  Drama,8.0,"$6,000,000","102,308,889",220415,66
188.,Ghost in the Shell,(2017),107 min,Action -  Crime -  Drama,6.3,"$110,000,000","40,563,557",220200,52
189.,The Girl with the Dragon Tattoo,(2009),152 min,Crime -  Drama -  Mystery,7.8,"$13,000,000","10,095,170",219391,76
190.,Gangster Squad,(2013),113 min,Action -  Crime -  Drama,6.7,"$60,000,000","46,000,903",218705,40
191.,Bolt,(2008),96 min,Animation -  Adventure -  Comedy,6.8,"$150,000,000","114,053,579",218293,67
192.,Miss Congeniality,(2000),109 min,Action -  Comedy -  Crime,6.3,"$45,000,000","106,807,667",218244,43
193.,The Talented Mr. Ripley,(1999),139 min,Crime -  Drama -  Thriller,7.4,"$40,000,000","81,298,265",218239,76
194.,Austin Powers in Goldmember,(2002),94 min,Action -  Adventure -  Comedy,6.2,"$63,000,000","213,307,889",215311,62
195.,Traffic,(2000),147 min,Crime -  Drama -  Thriller,7.6,"$48,000,000","124,115,725",212313,86
196.,Fracture,(2007),113 min,Crime -  Drama -  Thriller,7.2,,"39,015,018",210873,68
197.,The Raid: Redemption,(2011),101 min,Action -  Crime -  Thriller,7.6,"$1,100,000","4,105,187",209648,73
198.,Transporter 2,(2005),87 min,Action -  Crime -  Thriller,6.3,"$32,000,000","43,095,600",207857,56
199.,Who Framed Roger Rabbit,(1988),104 min,Animation -  Adventure -  Comedy,7.7,"$70,000,000","156,452,370",207481,83
200.,The Number 23,(2007),98 min,Crime -  Mystery -  Thriller,6.4,"$30,000,000","35,193,167",206920,
201.,Jai Bhim,(2021),164 min,Crime -  Drama -  Mystery,8.8,,,206312,
202.,Blue Velvet,(1986),120 min,Crime -  Drama -  Mystery,7.7,"$6,000,000","8,551,228",205586,76
203.,The Blues Brothers,(1980),133 min,Action -  Adventure -  Comedy,7.9,"$27,500,000","57,229,890",205470,60
204.,Cape Fear,(1991),128 min,Crime -  Thriller,7.3,"$35,000,000","79,100,000",203420,73
205.,Enola Holmes,(2020),123 min,Action -  Adventure -  Crime,6.6,"$20,000,000",,203258,68
206.,Run Lola Run,(1998),80 min,Action -  Crime -  Thriller,7.7,"DEM 3,500,000","7,267,585",202133,77
207.,The Taking of Pelham 123,(2009),106 min,Action -  Crime -  Thriller,6.4,"$100,000,000","65,452,312",201870,55
208.,The Next Three Days,(2010),133 min,Action -  Crime -  Drama,7.3,"$30,000,000","21,148,651",200537,52
209.,Machete,(2010),105 min,Action -  Crime -  Thriller,6.6,"$10,500,000","26,593,646",200342,60
210.,Cars 2,(2011),106 min,Animation -  Adventure -  Comedy,6.2,"$200,000,000","191,452,396",200065,57
211.,Central Intelligence,(2016),107 min,Action -  Comedy -  Crime,6.3,"$50,000,000","127,440,871",199387,52
212.,Taken 3,(2014),108 min,Action -  Crime -  Thriller,6.0,"$48,000,000","89,256,424",197522,26
213.,Falling Down,(1993),113 min,Action -  Crime -  Drama,7.6,"$25,000,000","40,903,593",196307,56
214.,The Judge,(2014),141 min,Crime -  Drama,7.4,"$50,000,000","47,119,388",195889,48
215.,Memories of Murder,(2003),132 min,Crime -  Drama -  Mystery,8.1,"$2,800,000","14,131",194759,82
216.,Side Effects,(I) (2013),106 min,Crime -  Drama -  Mystery,7.1,"$30,000,000","32,172,757",193135,75
217.,Baywatch,(2017),116 min,Action -  Comedy -  Crime,5.5,"$69,000,000","58,060,186",192927,37
218.,American Made,(2017),115 min,Action -  Comedy -  Crime,7.1,"$50,000,000","51,342,000",192662,65
219.,The Girl on the Train,(2016),112 min,Crime -  Drama -  Mystery,6.5,"$45,000,000","75,395,035",192241,48
220.,The Danish Girl,(2015),119 min,Biography -  Crime -  Drama,7.1,"$15,000,000","11,114,018",191945,66
221.,Swordfish,(2001),99 min,Action -  Crime -  Thriller,6.5,"$102,000,000","69,772,969",191360,32
222.,Beverly Hills Cop,(1984),105 min,Action -  Comedy -  Crime,7.3,"$13,000,000","234,760,478",191251,66
223.,Charlie's Angels,(2000),98 min,Action -  Adventure -  Comedy,5.6,"$93,000,000","125,305,545",190906,52
224.,Point Break,(1991),122 min,Action -  Crime -  Thriller,7.2,"$24,000,000","43,218,387",190857,59
225.,Desperado,(1995),104 min,Action -  Crime -  Thriller,7.1,"$7,000,000","25,625,110",190734,55
226.,Legend,(I) (2015),132 min,Biography -  Crime -  Drama,6.9,"$30,000,000","1,872,994",190204,55
227.,The Crow,(1994),102 min,Action -  Crime -  Drama,7.5,"$23,000,000","50,693,162",189920,71
228.,Wrath of Man,(2021),119 min,Action -  Crime -  Thriller,7.1,"$40,000,000","27,466,489",188919,57
229.,Ronin,(1998),122 min,Action -  Crime -  Thriller,7.2,"$55,000,000","41,616,262",187987,67
230.,Layer Cake,(2004),105 min,Action -  Crime -  Drama,7.3,"£4,000,000","2,338,695",187649,73
231.,Promising Young Woman,(2020),113 min,Crime -  Drama -  Mystery,7.5,,,186649,73
232.,The Assassination of Jesse James by the Coward Robert Ford,(2007),160 min,Biography -  Crime -  Drama,7.5,"$30,000,000","3,904,982",186640,68
